RK,Name,POS,GP,GS,FIP,TC,PO,A,FP,E,DP,RF,PB,SBA,CS,CS%,DWAR,Year
8,Jonathan LucroyTEX/MIL,C,126,121,1063,999,918,75,0.994,6,9,8.4,8,69,44,0.389,0.3,2016
9,Tucker BarnhartCIN,C,108,106,932,898,817,74,0.992,7,6,8.6,5,68,34,0.333,0.6,2016
10,J.T. RealmutoMIA,C,129,124,1113,1159,1069,80,0.991,10,8,9.3,8,51,28,0.354,-0.1,2016
11,Derek NorrisSD,C,116,113,983,942,875,58,0.99,9,5,8.5,8,76,20,0.208,1.4,2016
12,Matt WietersBAL,C,117,111,980,932,871,50,0.988,11,6,8.5,1,43,23,0.348,1.1,2016
1,Tucker BarnhartCIN,C,110,105,926,953,863,89,0.999,1,9,9.2,4,41,32,0.438,2.8,2017
2,Martin MaldonadoLAA,C,137,131,1146,1113,1046,65,0.998,2,2,8.7,8,46,29,0.387,1.8,2017
3,Jason CastroMIN,C,108,104,909,744,707,34,0.996,3,5,7.3,5,42,15,0.263,1.4,2017
4,Jonathan LucroyTEX/COL,C,110,108,948,825,758,63,0.995,4,5,7.8,6,55,20,0.267,0.2,2017
5,Yasmani GrandalLAD,C,117,113,999,1149,1089,54,0.995,6,4,10.3,16,44,21,0.323,1.2,2017
6,J.T. RealmutoMIA,C,126,125,1096,1022,929,87,0.994,6,11,8.3,9,53,25,0.321,0.8,2017
7,Salvador PerezKC,C,115,113,942,835,784,46,0.994,5,3,7.9,3,54,20,0.27,1.3,2017
8,Yadier MolinaSTL,C,133,133,1126,1144,1082,55,0.994,7,13,9.1,6,43,24,0.358,1.1,2017
9,Mike ZuninoSEA,C,120,112,994,957,894,56,0.993,7,5,8.6,10,54,17,0.239,0.9,2017
10,Matt WietersWSH,C,118,113,1004,1074,1023,43,0.993,8,5,9.6,5,57,19,0.25,0.8,2017
11,Austin HedgesSD,C,115,109,933,987,921,56,0.99,10,9,9.4,3,45,26,0.366,1.4,2017
12,Willson ContrerasCHC,C,108,91,821,881,782,86,0.985,13,7,9.5,7,61,23,0.274,1.4,2017
1,Yadier MolinaSTL,C,121,120,1018,1010,966,42,0.998,2,8,8.9,4,27,12,0.308,0.5,2018
2,Tucker BarnhartCIN,C,118,113,991,926,871,53,0.998,2,4,8.4,4,54,17,0.239,0.9,2018
3,Mike ZuninoSEA,C,111,101,922,925,880,43,0.998,2,5,9.0,10,34,18,0.346,1.7,2018
4,Martin MaldonadoLAA/HOU,C,117,111,968,1079,1021,54,0.996,4,5,10.0,13,18,17,0.486,0.5,2018
5,Robinson ChirinosTEX,C,108,102,893,753,719,31,0.996,3,4,7.6,5,53,6,0.102,0.3,2018
6,James McCannDET,C,114,112,987,902,847,50,0.994,5,10,8.2,5,47,27,0.365,0.7,2018
7,Yasmani GrandalLAD,C,135,110,1037,1168,1114,47,0.994,7,6,10.1,9,52,20,0.278,0.6,2018
8,J.T. RealmutoMIA,C,112,111,951,879,826,46,0.992,7,6,8.3,8,34,21,0.382,0.1,2018
9,Yan GomesCLE,C,111,105,949,1052,994,49,0.991,9,6,9.9,6,49,20,0.29,1.0,2018
10,Willson ContrerasCHC,C,133,123,1110,1095,1013,71,0.99,11,9,8.8,9,52,27,0.342,1.7,2018
11,Jonathan LucroyOAK,C,125,119,1066,950,857,83,0.989,10,3,7.9,10,72,31,0.301,-0.3,2018
1,Christian VazquezBOS,C,119,103,918,1066,994,71,0.999,1,6,10.4,9,36,22,0.379,0.6,2019
2,Yadier MolinaSTL,C,111,108,939,947,916,30,0.999,1,5,9.1,4,22,8,0.267,0.8,2019
3,Tony WoltersCOL,C,112,102,904,849,773,75,0.999,1,12,8.4,4,44,23,0.343,2.0,2019
4,Roberto PerezCLE,C,118,114,994,1137,1082,52,0.997,3,12,10.3,0,29,20,0.408,2.6,2019
5,Robinson ChirinosHOU,C,112,106,966,1135,1078,51,0.995,6,5,10.5,4,45,12,0.211,1.7,2019
6,Wilson RamosNYM,C,124,113,1016,1108,1051,50,0.994,7,5,9.7,10,94,17,0.153,0.2,2019
7,Yasmani GrandalMIL,C,137,124,1096,1218,1169,41,0.993,8,10,9.9,8,73,27,0.27,-0.4,2019
8,J.T. RealmutoPHI,C,133,130,1139,1174,1098,67,0.992,9,14,9.2,8,49,43,0.467,1.7,2019
9,Jorge AlfaroMIA,C,118,112,973,996,930,55,0.989,11,8,9.1,11,33,16,0.327,0.0,2019
1,Wilson RamosNYM,C,41,38,327,406,396,9,0.998,1,3,11.1,4,28,6,0.176,0.3,2020
2,Christian VazquezBOS,C,42,41,356,390,370,19,0.997,1,3,9.8,4,21,9,0.3,0.2,2020
3,Martin MaldonadoHOU,C,47,46,392,399,375,22,0.995,2,0,9.1,3,13,6,0.316,0.4,2020
4,Austin NolaSEA/SD,C,44,38,330,367,352,13,0.995,2,3,10.0,4,19,7,0.269,0.0,2020
5,Danny JansenTOR,C,43,40,342,354,332,20,0.994,2,2,9.3,3,20,6,0.231,0.2,2020
6,Sean MurphyOAK,C,43,39,339,350,334,14,0.994,2,1,9.2,4,15,6,0.286,0.3,2020
7,Willson ContrerasCHC,C,41,39,324,326,311,13,0.994,2,0,9.0,0,17,9,0.346,0.2,2020
8,Jacob StallingsPIT,C,42,40,345,405,379,22,0.99,4,2,10.5,3,18,9,0.333,0.8,2020
9,Yadier MolinaSTL,C,42,42,337,328,307,16,0.985,5,1,8.6,3,6,5,0.455,0.4,2020
10,Gary SanchezNYY,C,41,38,322,367,347,14,0.984,6,2,10.1,5,14,5,0.263,-0.1,2020
1,J.T. RealmutoPHI,C,118,112,973,1088,1057,30,0.999,1,5,10.1,6,28,10,0.263,0.4,2021
2,Salvador PerezKC,C,124,120,1003,1038,975,61,0.998,2,12,9.3,1,23,18,0.439,1.2,2021
3,Yadier MolinaSTL,C,118,118,1001,921,869,49,0.997,3,10,8.3,6,26,18,0.409,1.5,2021
4,Pedro SeverinoBAL,C,109,102,883,832,797,31,0.995,4,2,8.4,10,31,9,0.225,0.6,2021
5,Will SmithLAD,C,117,111,1005,1150,1101,43,0.995,6,1,10.2,9,72,24,0.25,0.3,2021
6,Omar NarvaezMIL,C,111,100,886,1063,1005,52,0.994,6,2,10.7,5,62,17,0.215,0.4,2021
7,Christian VazquezBOS,C,132,119,1051,1201,1136,58,0.994,7,6,10.2,10,55,18,0.247,1.3,2021
8,Gary SanchezNYY,C,110,100,879,992,932,54,0.994,6,1,10.1,8,50,10,0.167,-0.2,2021
9,Sean MurphyOAK,C,112,104,923,921,873,42,0.993,6,6,8.9,1,41,13,0.241,1.3,2021
10,Martin MaldonadoHOU,C,123,118,1011,1101,1049,44,0.993,8,9,9.7,7,29,19,0.396,0.8,2021
11,Willson ContrerasCHC,C,116,112,936,949,885,57,0.993,7,6,9.1,3,46,12,0.207,1.8,2021
1,Martin MaldonadoHOU,C,113,110,949,1076,1025,49,0.998,2,3,10.2,9,46,16,0.258,0.8,2022
2,Jacob StallingsMIA,C,110,103,906,944,918,24,0.998,2,2,9.4,0,61,14,0.187,0.0,2022
3,Will SmithLAD,C,109,106,956,1003,968,32,0.997,3,6,9.4,4,46,10,0.179,1.2,2022
4,Jonah HeimTEX,C,111,102,901,879,839,37,0.997,3,3,8.8,3,57,13,0.186,1.1,2022
5,Cal RaleighSEA,C,115,99,917,945,911,28,0.994,6,3,9.2,3,53,25,0.321,1.4,2022
6,J.T. RealmutoPHI,C,133,130,1132,1208,1151,49,0.993,8,11,9.5,2,38,30,0.441,2.1,2022
7,Jose TrevinoNYY,C,112,89,820,866,828,32,0.993,6,1,9.4,2,30,15,0.333,1.7,2022
8,Sean MurphyOAK,C,116,116,1004,926,878,40,0.991,8,4,8.2,2,42,19,0.311,0.2,2022
9,Christian VazquezBOS/HOU,C,108,96,870,911,863,40,0.991,8,5,9.3,3,51,19,0.271,1.3,2022
