rank,Youtuber,subscribers_1000s,video_views_1000s,video count,category,started
857,Vogue,12600.0,3809694.123,2897,Entertainment,2008
858,NickiMinajAtVEVO,12600.0,8637408.222,98,Music,2010
859,Republic Bharat,12600.0,6038959.28,66205,News & Politics,2019
860,Acenix,12500.0,1876902.116,308,Gaming,2014
861,WiederDude,12500.0,2484712.609,281,,2016
862,Willie Salim,12500.0,2920159.022,454,People & Blogs,2014
863,CaseyNeistat,12500.0,3111993.174,1092,People & Blogs,2010
864,TKOR,12500.0,3368024.399,1489,Education,2010
865,Talking Angela,12500.0,3448183.871,218,Entertainment,2014
866,Parafernalha,12500.0,4583829.068,1744,Entertainment,2011
867,Little Baby Bum en Español,12500.0,6864569.71,1327,Education,2014
868,Future,12500.0,9386136.758,58,Music,2011
869,Jass Records,12500.0,5687819.724,4981,Music,2014
870,Ja Mill,12500.0,1302818.088,567,People & Blogs,2016
871,SAAIHALILINTAR,12500.0,1109014.13,408,Entertainment,2012
872,Topper Guild,12500.0,11541075.724,623,Comedy,2014
873,elliegoulding,12500.0,6770640.507,161,Music,2007
874,infobells - Kannada,12500.0,5786055.09,383,Education,2014
875,People Vs Food,12400.0,1060193.61,489,Entertainment,2013
876,LOUD,12400.0,2362929.756,1157,Gaming,2019
877,Gibby :),12400.0,2818678.658,216,People & Blogs,2014
878,Heidi and Zidane HZHtube,12400.0,3608169.775,686,Entertainment,2015
879,办公室小野 Ms Yeah,12400.0,3930663.381,404,People & Blogs,2017
880,Rauw Alejandro,12400.0,10532467.456,142,Music,2014
881,Wolfoo Family,12400.0,3143252.534,644,,2019
882,DisneyChannelUK,12400.0,11843531.353,3289,Music,2007
883,웃웃TwinsFromRussia,12400.0,8756512.095,5568,People & Blogs,2011
884,SEVENGERS,12400.0,8547781.796,725,Comedy,2018
885,Just For Laughs Gags,12400.0,7907682.675,7343,Comedy,2007
886,Duo Tiempo De Sol,12400.0,6304482.531,304,Music,2013
887,Troom Troom PT,12400.0,4310146.149,2561,Howto & Style,2015
888,Wave Music Bhakti,12300.0,5045750.567,19558,Music,2011
889,colinfurze,12300.0,1526394.793,375,Entertainment,2006
890,XOMG POP!,12300.0,2559349.526,122,Entertainment,2015
891,SR Toys Collection,12300.0,4019210.784,984,Entertainment,2012
892,Akon,12300.0,5826759.447,45,Music,2005
893,NDTV,12300.0,4824147.317,139717,Entertainment,2006
894,Más SKabeche,12300.0,2971379.676,701,Travel & Events,2015
895,CHHOTU KI MASTI,12300.0,4333083.784,113,Comedy,2018
896,deepesh zo,12300.0,5748688.595,400,People & Blogs,2021
897,Kashvi Adlakha,12300.0,10647335.608,1324,Entertainment,2017
898,Migos ATL,12300.0,6722102.672,100,Music,2012
899,MC Divertida,12300.0,4807061.687,361,Entertainment,2018
900,Kylie Jenner,12200.0,778892.801,153,People & Blogs,2015
901,Ice Cream Rolls,12200.0,1546653.42,1708,Entertainment,2011
902,Timba Vk,12200.0,2700165.777,925,Gaming,2012
903,Bela Bagunça,12200.0,2826025.963,1002,People & Blogs,2015
904,Troom Troom Indonesia,12200.0,5201901.26,1700,People & Blogs,2019
905,Heidi y Zidane,12200.0,5811961.561,538,,2019
906,Avril Lavigne,12200.0,5932943.186,165,Music,2005
907,Yair17,12200.0,1314399.373,1036,Gaming,2014
908,YoungBoy Never Broke Again,12200.0,12214748.672,590,Entertainment,2015
909,penguinz0,12200.0,6814473.725,4300,Gaming,2007
910,DaniRep | +6 Vídeos Diarios De GTA 5 Online!,12200.0,6649513.808,11653,Gaming,2012
911,Quantum Tech HD,12100.0,4529766.877,501,Science & Technology,2015
912,Lulu99,12100.0,2234321.088,545,Entertainment,2015
913,Franco Escamilla,12100.0,3843510.589,2288,Comedy,2007
914,서은일상이야기,12100.0,2575507.23,696,Entertainment,2017
915,123 GO!,12100.0,4555314.649,466,People & Blogs,2019
916,Panda,12100.0,2094179.566,1449,,2018
917,eltrece,12100.0,11653184.563,158471,Entertainment,2014
918,Diana and Roma IND,12100.0,5276684.969,491,,2019
919,Маша та Ведмідь,12100.0,5252835.292,1093,Shows,2014
920,Hero Movies 2023,12000.0,1578818.285,456,People & Blogs,2017
921,TsMadaan,12000.0,1374861.132,1783,Howto & Style,2008
922,Mor Haryanvi,12000.0,6034560.401,408,Music,2015
923,Pastor Antônio Júnior,12000.0,1901055.625,4150,People & Blogs,2013
924,Make Joke Of,12000.0,2007958.543,53,Comedy,2017
925,NATTI NATASHA,12000.0,7675142.124,168,Music,2015
926,Prime Video India,12000.0,7550309.429,5649,Entertainment,2016
927,Nat and Essie,12000.0,7101982.485,1076,Film & Animation,2015
928,Luan Santana,12000.0,5384297.685,381,Music,2009
929,Planet Earth INDIA,12000.0,1772723.201,648,People & Blogs,2011
930,Airrack,11900.0,1608298.778,160,Entertainment,2015
931,Pari's Lifestyle,11900.0,7321593.543,408,People & Blogs,2018
932,GoldminesAction,11900.0,1187500.277,662,Film & Animation,2015
933,Lofi Girl,11900.0,1493347.071,377,Music,2015
934,emma chamberlain,11900.0,1575678.226,287,Entertainment,2016
935,Rubius Z,11900.0,1984645.242,500,Comedy,2006
936,KaKa Kids TV - Nursery Rhymes Kids Animated Songs,11900.0,4190488.073,332,,2013
937,Chetan Monga Vlogs,11900.0,8413328.717,807,People & Blogs,2014
938,bharatzkitchen HINDI,11900.0,2132024.633,683,Howto & Style,2016
939,First We Feast,11900.0,2661397.986,902,Howto & Style,2014
940,Kluna Tik,11900.0,4158351.884,306,Entertainment,2014
941,XO TEAM,11900.0,11760244.572,2732,People & Blogs,2021
942,ChrisBrownVEVO,11900.0,13248980.169,297,Music,2009
943,ZutiGang,11900.0,13067195.35,1106,People & Blogs,2021
944,Black Eyed Peas,11900.0,10201704.746,75,Music,2007
945,CNCO,11900.0,7076368.516,193,Music,2015
946,AlArabiya العربية,11900.0,6659791.312,149363,People & Blogs,2006
947,MBC مصر,11900.0,6630986.323,40955,Entertainment,2012
948,DANIEL EL TRAVIESO VIDEOS,11900.0,4848670.417,335,Comedy,2014
949,Koo Koo TV - Hindi,11900.0,4376588.485,1046,Education,2017
950,Dental Digest,11800.0,5928129.553,279,People & Blogs,2020
951,EU FICO LOKO,11800.0,1188298.419,1605,Comedy,2010
952,FrontaL Gaming,11800.0,271133.894,168,Gaming,2015
953,BIBO и Игрушки,11800.0,1059286.706,172,Entertainment,2019
954,Yoga With Adriene,11800.0,1280009.039,686,Howto & Style,2012
955,TommyInnit,11800.0,1691980.12,306,Gaming,2015
956,TWO SIDE GAMERS,11800.0,2078988.332,1885,Music,2018
957,Flowers Comedy,11800.0,10638969.993,10460,Entertainment,2015
958,Naz | ناز,11800.0,2013850.402,916,People & Blogs,2016
959,Noman Official,11800.0,4831954.047,453,Comedy,2019
960,Jaiden Animations,11800.0,2212141.682,104,Film & Animation,2014
961,LipaoGamer,11800.0,4033602.85,11282,Gaming,2011
962,CalvinHarrisVEVO,11800.0,13986508.348,174,Music,2009
963,Wild 'N Out,11800.0,4627031.279,1367,Entertainment,2006
964,KL BRO Biju Rithvik,11800.0,10348732.353,1495,Entertainment,2020
965,POCOYÓ en ESPAÑOL - Canal Oficial,11800.0,8806880.976,1637,Film & Animation,2007
966,Salman Noman,11800.0,8136287.056,566,Entertainment,2013
967,P!NK,11800.0,7594136.925,22,Music,2006
968,Bobby chourasiya,11800.0,6842093.519,358,People & Blogs,2019
969,elcarteldesantatv,11800.0,6773936.217,347,Music,2008
970,SBT,11800.0,3463277.759,25951,Comedy,2008
971,MrGear,11800.0,3264613.294,847,Science & Technology,2015
972,Norman,11800.0,2703820.741,210,Comedy,2011
973,MORGENSHTERN,11800.0,2275044.847,160,Music,2013
974,Garena Free Fire LATAM,11700.0,1664246.248,1683,People & Blogs,2018
975,Tfue,11700.0,1493492.526,851,Gaming,2014
976,الجانب المُشرق | Bright Side Arabic,11700.0,1693067.979,5369,Howto & Style,2018
977,Gustavo Paródias,11700.0,2234021.531,738,Comedy,2014
978,Stray Kids,11700.0,2657256.644,716,People & Blogs,2017
979,Morgz,11700.0,2835736.949,783,Gaming,2014
980,CrazyRussianHacker,11700.0,3248245.224,2216,Science & Technology,2012
981,Dani Russo Tv,11700.0,611999.871,277,Comedy,2014
982,Free Fire India Official,11700.0,1491353.574,1292,People & Blogs,2018
983,Beast Philanthropy,11700.0,177174.008,20,People & Blogs,2020
984,Mundo Bita,11700.0,15259330.122,201,Music,2011
985,Lil Wayne,11700.0,5784521.562,269,Music,2013
986,Kendrick Lamar,11700.0,5314288.499,22,People & Blogs,2018
987,Biper y sus Amigos,11700.0,5227636.974,152,Music,2012
988,Halsey,11700.0,4680662.267,52,Music,2014
989,BBC Earth,11700.0,4232351.796,2351,Pets & Animals,2009
990,The Film Theorists,11600.0,2448814.747,386,Film & Animation,2014
991,설기양SULGI,11600.0,3024609.538,605,People & Blogs,2012
993,CarryisLive,11600.0,1453350.866,947,Gaming,2017
994,ILYA BORZOV,11600.0,7932200.518,2212,People & Blogs,2021
995,ToysPlay,11600.0,7317071.431,435,Entertainment,2015
996,Ryan Trahan,11600.0,1660137.189,267,Entertainment,2013
997,Zee Kids,11600.0,7076110.149,1031,Film & Animation,2012
998,Rubén Tuesta oficial,11600.0,6921179.013,782,Comedy,2016
999,Nirahua Music World,11600.0,6032390.525,792,Music,2014
1000,Star Casablanca | نجوم الدار البيضاء,11600.0,5360941.247,1035,Music,2015
