RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR,Year
108,108,Trevor Immelman,55,24.44,22,90,-0.09,2010
109,109,Cliff Kresge,50,23.91,22,92,+0.14,2010
110,110,Justin Bolli,55,23.47,23,98,+0.04,2010
111,111,Y.E. Yang,72,23.33,28,120,-0.25,2010
112,112,Paul Stankowski,62,23.15,25,108,-0.20,2010
113,113,Steve Lowery,67,23.02,29,126,-0.24,2010
T114,T114,James Nitties,92,22.67,39,172,-0.33,2010
T114,T114,Brian Stuard,81,22.67,34,150,-0.21,2010
116,116,Steve Wheatcroft,74,22.58,28,124,-0.04,2010
117,117,Ricky Barnes,103,22.53,41,182,-0.15,2010
118,118,Shaun Micheel,70,22.41,26,116,-0.12,2010
119,119,Michael Bradley,77,21.92,32,146,-0.25,2010
120,120,Vaughn Taylor,87,21.26,37,174,-0.41,2010
121,121,Cameron Beckman,68,21.09,27,128,-0.19,2010
122,122,Freddie Jacobson,83,21.08,35,166,-0.09,2010
123,123,Webb Simpson,98,20.92,41,196,-0.17,2010
T124,T124,K.J. Choi,82,20.59,28,136,-0.39,2010
T124,T124,Jay Williamson,76,20.59,28,136,-0.25,2010
126,126,Charlie Wi,95,20.53,39,190,-0.21,2010
127,127,Chad Campbell,94,20.22,36,178,-0.25,2010
128,128,Billy Mayfair,78,20.0,28,140,-0.25,2010
129,129,Johnson Wagner,85,19.75,32,162,-0.09,2010
130,130,Aron Price,70,19.53,25,128,-0.32,2010
131,131,Rod Pampling,77,19.48,30,154,-0.03,2010
132,132,J.P. Hayes,79,18.67,28,150,-0.04,2010
133,133,Carl Pettersson,99,18.13,33,182,-0.15,2010
134,134,Matt Kuchar,97,18.07,30,166,-0.30,2010
135,135,John Mallinger,78,18.06,26,144,-0.12,2010
136,136,Joe Durant,67,18.03,22,122,-0.14,2010
137,137,Michael Sim,64,17.8,21,118,E,2010
138,138,Nathan Green,86,17.68,29,164,-0.28,2010
139,139,Ian Poulter,55,17.57,13,74,+0.08,2010
140,140,Zach Johnson,93,17.09,27,158,-0.26,2010
141,141,Skip Kendall,58,17.0,17,100,-0.29,2010
142,142,Stephen Ames,75,16.67,24,144,-0.17,2010
143,143,David Toms,86,16.23,25,154,-0.08,2010
144,144,Kevin Na,94,15.88,27,170,-0.22,2010
145,145,Jason Bohn,84,15.85,26,164,+0.04,2010
146,146,Spencer Levin,110,15.69,32,204,-0.28,2010
147,147,Brian Davis,101,15.66,31,198,-0.35,2010
148,148,Dean Wilson,54,15.63,15,96,+0.07,2010
149,149,Jason Dufner,87,15.58,24,154,-0.13,2010
150,150,Garrett Willis,82,15.38,24,156,-0.33,2010
151,151,D.A. Points,90,15.34,27,176,-0.37,2010
152,152,Woody Austin,93,15.17,27,178,E,2010
153,153,Chris Riley,73,14.93,20,134,-0.15,2010
154,154,Chris DiMarco,88,14.88,25,168,-0.12,2010
155,155,Michael Connell,89,14.81,24,162,-0.08,2010
156,156,Mark Wilson,87,14.46,24,166,+0.04,2010
157,157,Ben Crane,85,14.19,21,148,-0.10,2010
158,158,Rocco Mediate,71,14.18,19,134,-0.11,2010
159,159,Steve Stricker,73,14.17,17,120,-0.24,2010
160,160,Jerod Turner,54,14.13,13,92,+0.08,2010
161,161,Briny Baird,87,13.86,23,166,-0.26,2010
162,162,Brett Quigley,96,13.68,26,190,-0.42,2010
163,163,Tim Petrovic,105,13.11,27,206,-0.30,2010
164,164,Jerry Kelly,99,12.94,22,170,-0.27,2010
165,165,Jim Furyk,76,12.88,17,132,-0.06,2010
166,166,Ryuji Imada,90,12.78,23,180,-0.13,2010
167,167,Alex Cejka,81,12.67,19,150,-0.37,2010
168,168,Heath Slocum,97,12.65,21,166,-0.14,2010
T169,T169,Kevin Johnson,62,12.5,14,112,-0.14,2010
T169,T169,Justin Leonard,89,12.5,20,160,-0.10,2010
T169,T169,Bryce Molder,84,12.5,20,160,-0.30,2010
172,172,Steve Flesch,78,12.14,17,140,-0.06,2010
173,173,Mark Calcavecchia,50,11.84,9,76,+0.11,2010
174,174,Tom Pernice Jr.,74,11.29,14,124,-0.29,2010
175,175,Luke Donald,71,11.21,13,116,-0.23,2010
176,176,Brent Delahoussaye,57,10.78,11,102,-0.18,2010
177,177,Jeff Quinney,91,10.34,18,174,-0.44,2010
178,178,Jeff Maggert,76,10.29,14,136,E,2010
179,179,Richard Johnson,90,10.26,16,156,-0.56,2010
180,180,Chad Collins,87,9.49,15,158,+0.07,2010
181,181,Brandt Snedeker,89,9.41,16,170,-0.44,2010
182,182,Greg Chalmers,93,8.6,16,186,-0.19,2010
183,183,Tim Clark,88,8.44,13,154,-0.23,2010
184,184,Craig Bowden,56,7.84,8,102,E,2010
185,185,Mike Weir,59,7.45,7,94,-0.29,2010
186,186,Brad Faxon,58,7.41,8,108,-0.13,2010
187,187,Scott Verplank,74,7.38,9,122,-0.56,2010
188,188,Ben Curtis,78,5.71,8,140,-0.25,2010
189,189,Greg Kraft,52,5.43,5,92,+0.20,2010
190,190,Paul Goydos,78,4.05,6,148,+0.33,2010
191,191,Brian Gay,101,3.8,7,184,E,2010
192,192,Omar Uresti,74,3.68,5,136,E,2010
1,1,Bubba Watson,85,77.61,104,134,-0.31,2011
2,2,J.B. Holmes,57,76.47,78,102,-0.24,2011
3,3,Dustin Johnson,72,70.34,83,118,-0.07,2011
4,4,Steven Bowditch,86,67.68,111,164,-0.23,2011
5,5,Robert Garrigus,83,67.53,104,154,-0.23,2011
6,6,Gary Woodland,93,66.67,108,162,-0.31,2011
7,7,Kyle Stanley,98,59.3,102,172,-0.40,2011
8,8,Jhonattan Vegas,84,58.97,92,156,-0.23,2011
9,9,Martin Laird,77,58.82,80,136,-0.25,2011
10,10,Tag Ridings,87,58.64,95,162,-0.23,2011
11,11,Scott Piercy,78,57.86,81,140,-0.26,2011
12,12,Will Strickler,51,57.45,54,94,-0.09,2011
13,13,Jason Day,76,57.38,70,122,-0.24,2011
14,14,Scott Stallings,84,55.77,87,156,-0.24,2011
15,15,Jim Herman,69,54.92,67,122,-0.24,2011
T16,T16,Adam Scott,60,54.08,53,98,-0.17,2011
T16,T16,Josh Teater,104,54.08,106,196,-0.27,2011
18,18,Nick Watney,80,53.62,74,138,-0.34,2011
19,19,Jimmy Walker,79,53.16,84,158,-0.15,2011
20,20,Robert Karlsson,61,52.04,51,98,-0.25,2011
21,21,Phil Mickelson,79,51.54,67,130,-0.31,2011
22,22,Ángel Cabrera,50,51.32,39,76,-0.23,2011
T23,T23,Keegan Bradley,91,50.0,87,174,-0.23,2011
T23,T23,Harrison Frazar,58,50.0,50,100,-0.20,2011
25,25,Troy Matteson,91,49.43,86,174,-0.08,2011
26,26,Chris Couch,73,49.32,72,146,-0.29,2011
27,27,Davis Love III,70,49.17,59,120,-0.29,2011
28,28,Sergio Garcia,61,48.98,48,98,-0.21,2011
29,29,Brandt Jobe,100,48.37,89,184,-0.12,2011
30,30,David Duval,67,47.69,62,130,-0.08,2011
31,31,D.J. Trahan,91,47.25,86,182,-0.19,2011
32,32,Aaron Baddeley,77,47.01,63,134,-0.24,2011
33,33,Zack Miller,86,46.95,77,164,-0.19,2011
34,34,Michael Putnam,67,46.61,55,118,-0.04,2011
35,35,Rickie Fowler,84,46.48,66,142,-0.24,2011
36,36,Kevin Chappell,78,46.32,63,136,-0.32,2011
37,37,Derek Lamely,65,46.03,58,126,-0.09,2011
38,38,Ryan Palmer,82,45.59,62,136,-0.37,2011
39,39,Alex Prugh,82,45.51,71,156,E,2011
40,40,Bobby Gates,82,45.27,67,148,-0.21,2011
41,41,Charley Hoffman,93,45.12,74,164,-0.43,2011
42,42,Scott Gutschewski,67,44.92,53,118,-0.13,2011
43,43,Bio Kim,71,44.62,58,130,-0.41,2011
44,44,Charl Schwartzel,58,44.32,39,88,-0.31,2011
45,45,Bo Van Pelt,92,44.23,69,156,-0.41,2011
46,46,Marc Leishman,87,43.37,72,166,-0.25,2011
47,47,Chris Kirk,87,43.1,75,174,-0.32,2011
48,48,John Rollins,85,42.77,71,166,-0.14,2011
49,49,Charles Howell III,108,42.5,85,200,-0.25,2011
50,50,Webb Simpson,98,42.22,76,180,-0.32,2011
51,51,Jim Renner,65,42.11,48,114,-0.31,2011
52,52,Tommy Gainey,104,42.0,84,200,-0.21,2011
53,53,Camilo Villegas,69,41.67,50,120,-0.08,2011
54,54,Padraig Harrington,60,41.18,42,102,-0.12,2011
55,55,George McNeill,69,40.98,50,122,-0.12,2011
56,56,Joseph Bramlett,73,40.77,53,130,-0.28,2011
57,57,Jeff Overton,92,40.51,64,158,-0.25,2011
58,58,Sean O'Hair,71,40.15,53,132,-0.32,2011
59,59,John Merrick,71,39.68,50,126,-0.36,2011
60,60,Matt Jones,71,39.44,56,142,-0.07,2011
61,61,Bill Haas,93,39.38,63,160,-0.24,2011
62,62,James Driscoll,71,39.23,51,130,-0.18,2011
63,63,Andres Romero,77,38.67,58,150,-0.28,2011
64,64,Andres Gonzales,60,38.0,38,100,-0.18,2011
65,65,Anthony Kim,72,37.7,46,122,-0.15,2011
66,66,Sung Kang,63,37.27,41,110,-0.37,2011
67,67,Boo Weekley,66,37.1,46,124,-0.28,2011
68,68,J.J. Henry,96,36.36,64,176,-0.20,2011
69,69,Cameron Tringale,110,36.32,77,212,-0.30,2011
70,70,Chez Reavie,92,35.8,63,176,-0.16,2011
T71,T71,Blake Adams,116,35.71,80,224,-0.23,2011
T71,T71,Ricky Barnes,78,35.71,50,140,-0.22,2011
73,73,Stewart Cink,72,35.34,41,116,-0.17,2011
74,74,Lucas Glover,74,35.16,45,128,-0.38,2011
T75,T75,John Senden,94,35.0,63,180,-0.25,2011
T75,T75,Kevin Stadler,88,35.0,56,160,-0.20,2011
77,77,Pat Perez,76,34.87,53,152,-0.06,2011
78,78,Billy Horschel,75,34.78,48,138,-0.17,2011
79,79,Martin Piller,63,34.75,41,118,-0.15,2011
80,80,Vijay Singh,79,34.42,53,154,-0.09,2011
81,81,Rod Pampling,72,34.38,44,128,-0.39,2011
82,82,Justin Rose,79,34.33,46,134,-0.24,2011
83,83,Bill Lunde,92,34.09,60,176,-0.17,2011
84,84,David Hearn,88,33.75,54,160,-0.17,2011
85,85,Briny Baird,60,33.65,35,104,-0.11,2011
T86,T86,Joe Ogilvie,75,33.58,45,134,-0.22,2011
T86,T86,Roland Thatcher,67,33.58,45,134,-0.33,2011
88,88,Ben Martin,74,33.57,47,140,-0.30,2011
89,89,Brendan Steele,89,33.33,58,174,-0.24,2011
90,90,Hunter Mahan,92,33.13,55,166,-0.31,2011
91,91,Lee Janzen,62,33.04,37,112,-0.16,2011
92,92,Alexandre Rocha,65,33.02,35,106,-0.20,2011
T93,T93,Chad Campbell,99,32.97,60,182,-0.22,2011
T93,T93,Carl Pettersson,95,32.97,60,182,-0.33,2011
95,95,Steve Marino,76,32.86,46,140,-0.24,2011
96,96,Jonathan Byrd,83,32.24,49,152,-0.27,2011
97,97,Tim Herron,85,32.1,52,162,-0.33,2011
98,98,D.J. Brigman,67,31.36,37,118,-0.38,2011
99,99,Robert Allenby,84,31.33,47,150,-0.02,2011
100,100,Scott McCarron,65,31.15,38,122,-0.24,2011
101,101,Geoff Ogilvy,69,31.03,36,116,-0.08,2011
102,102,Rory Sabbatini,85,30.99,44,142,-0.39,2011
103,103,Michael Bradley,74,30.71,43,140,-0.14,2011
104,104,Justin Hicks,60,30.21,29,96,-0.10,2011
105,105,Woody Austin,59,30.19,32,106,-0.28,2011
106,106,Chris Stroud,88,29.76,50,168,-0.18,2011
107,107,Trevor Immelman,84,29.73,44,148,-0.18,2011
108,108,Ryan Moore,79,29.23,38,130,-0.24,2011
109,109,Y.E. Yang,63,28.72,27,94,-0.37,2011
110,110,Matt Bettencourt,84,28.57,48,168,-0.17,2011
111,111,D.A. Points,89,28.24,48,170,-0.23,2011
112,112,Tom Gillis,55,28.18,31,110,-0.13,2011
113,113,Retief Goosen,50,27.38,23,84,-0.43,2011
114,114,Michael Thompson,79,26.71,39,146,-0.05,2011
115,115,Hunter Haas,96,26.63,49,184,-0.22,2011
116,116,Jason Bohn,74,26.47,36,136,-0.17,2011
117,117,Kent Jones,76,26.06,37,142,-0.14,2011
118,118,William McGirt,103,25.76,51,198,-0.10,2011
119,119,Fabián Gómez,84,25.66,39,152,-0.26,2011
120,120,Kevin Streelman,90,25.61,42,164,-0.14,2011
121,121,Stuart Appleby,65,25.4,32,126,-0.06,2011
T122,T122,Shaun Micheel,77,25.34,37,146,-0.30,2011
T122,T122,Daniel Summerhays,75,25.34,37,146,-0.30,2011
124,124,Brendon de Jonge,105,25.25,51,202,-0.29,2011
125,125,Ernie Els,71,24.59,30,122,-0.07,2011
126,126,Steve Stricker,70,24.56,28,114,-0.29,2011
127,127,Matt McQuillan,59,24.55,27,110,E,2011
128,128,Rich Beem,53,23.58,25,106,-0.04,2011
129,129,Jarrod Lyle,83,23.42,37,158,-0.14,2011
130,130,Brandt Snedeker,85,23.33,35,150,-0.26,2011
131,131,Jason Dufner,78,22.97,34,148,E,2011
132,132,Kris Blanks,92,22.78,41,180,-0.34,2011
133,133,Nathan Green,81,22.67,34,150,-0.41,2011
134,134,Matt Kuchar,94,22.44,35,156,-0.34,2011
135,135,Cameron Beckman,71,22.39,30,134,-0.10,2011
136,136,Aron Price,58,22.12,23,104,-0.35,2011
137,137,Arjun Atwal,91,21.91,39,178,-0.15,2011
138,138,Spencer Levin,113,21.9,46,210,-0.26,2011
139,139,Troy Merritt,63,20.49,25,122,-0.20,2011
140,140,J.P. Hayes,56,20.37,22,108,-0.45,2011
141,141,Kevin Kisner,70,20.31,26,128,-0.04,2011
142,142,Steve Elkington,50,20.0,20,100,-0.25,2011
143,143,Kevin Na,84,19.87,31,156,-0.35,2011
144,144,Steve Flesch,88,19.64,33,168,-0.24,2011
145,145,Charlie Wi,83,19.28,32,166,-0.34,2011
146,146,Graeme McDowell,50,19.23,15,78,-0.27,2011
147,147,Freddie Jacobson,92,19.08,29,152,-0.38,2011
T148,T148,David Mathis,83,18.83,29,154,-0.24,2011
T148,T148,Johnson Wagner,81,18.83,29,154,-0.10,2011
150,150,Ben Crane,76,18.66,25,134,-0.12,2011
151,151,Brian Davis,105,18.45,38,206,-0.42,2011
152,152,Michael Connell,76,18.42,28,152,-0.18,2011
T153,T153,Justin Leonard,82,18.13,29,160,-0.14,2011
T153,T153,Bryce Molder,82,18.13,29,160,-0.24,2011
155,155,Vaughn Taylor,89,17.98,32,178,-0.16,2011
156,156,Paul Stankowski,78,17.36,25,144,-0.08,2011
157,157,Billy Mayfair,94,17.22,31,180,-0.10,2011
158,158,Heath Slocum,89,17.07,28,164,-0.11,2011
159,159,Dean Wilson,62,16.94,21,124,-0.48,2011
T160,T160,Chris Riley,76,16.67,24,144,-0.33,2011
T160,T160,Nate Smith,66,16.67,20,120,-0.10,2011
162,162,Mark Wilson,89,16.46,26,158,-0.19,2011
T163,T163,Stephen Ames,69,16.15,21,130,-0.38,2011
T163,T163,K.J. Choi,77,16.15,21,130,-0.48,2011
165,165,Jim Furyk,87,15.79,24,152,-0.04,2011
166,166,Ryuji Imada,83,15.66,26,166,-0.23,2011
167,167,Joe Durant,71,15.22,21,138,-0.05,2011
168,168,Ian Poulter,52,15.12,13,86,E,2011
169,169,Marc Turnesa,54,15.0,15,100,E,2011
170,170,Luke Donald,73,14.91,17,114,-0.18,2011
171,171,Colt Knost,80,14.86,22,148,-0.14,2011
172,172,Chris DiMarco,93,14.61,26,178,-0.31,2011
173,173,Garrett Willis,71,14.49,20,138,-0.40,2011
174,174,Shane Bertsch,62,14.29,16,112,-0.19,2011
175,175,Rocco Mediate,53,14.15,15,106,-0.13,2011
176,176,Alex Cejka,59,13.21,14,106,-0.64,2011
177,177,Greg Chalmers,88,13.1,22,168,-0.18,2011
178,178,Tim Petrovic,88,12.65,21,166,-0.19,2011
179,179,David Toms,78,12.5,17,136,-0.24,2011
180,180,Richard Johnson,64,10.34,12,116,E,2011
181,181,Nick O'Hern,89,9.64,16,166,-0.44,2011
182,182,Zach Johnson,79,9.56,13,136,-0.54,2011
183,183,Paul Goydos,81,8.02,13,162,E,2011
184,184,Jerry Kelly,85,7.24,11,152,-0.09,2011
185,185,Ben Curtis,66,7.03,9,128,-0.44,2011
186,186,Brian Gay,90,6.1,10,164,E,2011
1,1,Bubba Watson,68,81.73,85,104,-0.42,2012
2,2,Robert Garrigus,89,70.37,114,162,-0.25,2012
3,3,Jason Day,57,69.79,67,96,-0.31,2012
4,4,Kyle Stanley,86,69.59,103,148,-0.25,2012
5,5,Dustin Johnson,70,69.3,79,114,-0.18,2012
6,6,Rory McIlroy,60,68.75,55,80,-0.44,2012
7,7,Charlie Beljan,61,67.92,72,106,-0.35,2012
8,8,J.B. Holmes,90,67.68,111,164,-0.13,2012
9,9,Adam Scott,59,60.71,51,84,-0.12,2012
10,10,Graham DeLaet,79,59.33,89,150,-0.27,2012
11,11,Scott Stallings,78,59.03,85,144,-0.16,2012
12,12,Scott Piercy,95,58.99,105,178,-0.33,2012
13,13,John Daly,50,57.89,44,76,-0.18,2012
14,14,Jhonattan Vegas,77,57.33,86,150,-0.22,2012
15,15,Jason Kokrak,79,56.67,85,150,-0.12,2012
16,16,Gary Woodland,70,56.25,63,112,-0.16,2012
17,17,Ryan Palmer,81,55.84,86,154,-0.27,2012
18,18,Keegan Bradley,90,54.86,79,144,-0.20,2012
19,19,Tiger Woods,69,53.92,55,102,-0.22,2012
20,20,Bobby Gates,87,53.61,89,166,-0.26,2012
21,21,Martin Laird,77,52.54,62,118,-0.27,2012
22,22,Sean O'Hair,84,52.5,84,160,-0.25,2012
23,23,Troy Matteson,100,51.67,93,180,-0.13,2012
24,24,Ángel Cabrera,54,51.32,39,76,+0.05,2012
25,25,Seung-Yul Noh,105,50.54,94,186,-0.19,2012
26,26,Jimmy Walker,101,49.48,96,194,-0.23,2012
27,27,Harrison Frazar,56,49.04,51,104,-0.33,2012
28,28,Daniel Chopra,55,48.98,48,98,-0.21,2012
29,29,Harris English,98,48.4,91,188,-0.31,2012
30,30,Mark Anderson,75,47.83,66,138,-0.26,2012
31,31,Charles Howell III,98,47.67,82,172,-0.37,2012
32,32,Troy Kelly,68,47.5,57,120,-0.37,2012
33,33,Josh Teater,97,47.31,88,186,-0.27,2012
34,34,Brandt Jobe,57,46.23,49,106,-0.24,2012
35,35,Louis Oosthuizen,65,45.92,45,98,-0.24,2012
36,36,Erik Compton,81,44.52,65,146,-0.23,2012
37,37,Nick Watney,97,43.75,70,160,-0.24,2012
38,38,Vijay Singh,99,43.53,74,170,-0.18,2012
39,39,Bo Van Pelt,84,43.48,60,138,-0.22,2012
40,40,Carl Pettersson,92,43.29,71,164,-0.27,2012
41,41,Boo Weekley,74,43.18,57,132,-0.19,2012
42,42,Davis Love III,64,42.86,48,112,-0.17,2012
43,43,Martin Flores,95,41.76,76,182,-0.13,2012
44,44,Charl Schwartzel,56,41.25,33,80,-0.30,2012
45,45,Edward Loar,59,41.18,42,102,-0.24,2012
46,46,Kevin Chappell,91,41.14,65,158,-0.18,2012
47,47,Sergio Garcia,57,40.91,36,88,-0.19,2012
48,48,Phil Mickelson,79,40.77,53,130,-0.30,2012
49,49,Chris Couch,61,40.68,48,118,-0.23,2012
50,50,Garth Mulroy,59,40.57,43,106,-0.30,2012
51,51,Charley Hoffman,88,40.12,69,172,-0.26,2012
52,52,Matt Jones,53,39.8,39,98,-0.28,2012
53,53,Tommy Gainey,98,39.58,76,192,-0.18,2012
54,54,John Rollins,81,39.33,59,150,-0.17,2012
55,55,Trevor Immelman,76,39.06,50,128,-0.24,2012
56,56,Ernie Els,80,38.64,51,132,-0.22,2012
57,57,Greg Owen,90,37.79,65,172,-0.31,2012
58,58,Ryo Ishikawa,54,36.84,28,76,-0.29,2012
59,59,Lee Westwood,60,36.25,29,80,-0.24,2012
60,60,Rickie Fowler,84,36.23,50,138,-0.34,2012
61,61,Aaron Baddeley,73,36.21,42,116,-0.29,2012
62,62,Jason Dufner,83,35.61,47,132,-0.26,2012
63,63,Scott Brown,65,35.59,42,118,-0.36,2012
64,64,Kevin Streelman,89,35.54,59,166,-0.31,2012
65,65,D.J. Trahan,73,35.51,49,138,-0.16,2012
66,66,John Merrick,83,34.81,55,158,-0.44,2012
67,67,Robert Karlsson,54,34.52,29,84,-0.21,2012
68,68,Stephen Gangluff,57,34.31,35,102,-0.17,2012
69,69,Ricky Barnes,92,34.09,60,176,-0.30,2012
70,70,Camilo Villegas,79,33.77,52,154,-0.23,2012
71,71,Bill Haas,79,33.59,43,128,-0.26,2012
72,72,Brendan Steele,77,33.1,47,142,-0.43,2012
73,73,Derek Lamely,64,33.06,41,124,-0.22,2012
74,74,John Senden,81,32.81,42,128,-0.29,2012
75,75,Billy Horschel,63,32.73,36,110,-0.17,2012
76,76,Stewart Cink,71,32.46,37,114,-0.27,2012
77,77,Bud Cauley,99,31.96,62,194,-0.27,2012
