name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Ford Fiesta Classic 1.4 SXI Duratorq,2006,110000,120000,Diesel,Individual,Manual,Third Owner
Tata Sumo GX TC 7 Str BSIII,2006,115999,100000,Diesel,Individual,Manual,Second Owner
Maruti 800 AC,2002,65000,100000,Petrol,Individual,Manual,Second Owner
Tata Sumo SE Plus BSIII,2002,100000,120000,Diesel,Individual,Manual,First Owner
Mahindra Xylo E4,2010,160000,130000,Diesel,Individual,Manual,First Owner
Hyundai i20 1.4 Magna ABS,2009,180000,60000,Diesel,Individual,Manual,Second Owner
Maruti Alto LXi,2007,100000,195000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2010,120000,90000,Petrol,Individual,Manual,Second Owner
Hyundai Getz GL,2006,130000,80000,Petrol,Individual,Manual,Third Owner
Maruti Wagon R LX BS IV,2011,160000,155000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2010,100000,80000,Petrol,Individual,Manual,Second Owner
Maruti Alto 800 LXI,2013,110000,50000,Petrol,Individual,Manual,First Owner
Chevrolet Spark 1.0 LT,2012,125000,28000,Petrol,Individual,Manual,First Owner
Hyundai EON 1.0 Kappa Magna Plus,2015,160000,70000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI,2005,80000,40000,Petrol,Individual,Manual,Second Owner
Chevrolet Beat Diesel LS,2011,106000,50000,Diesel,Individual,Manual,First Owner
Maruti A-Star Vxi,2009,180000,46730,Petrol,Individual,Manual,First Owner
Maruti Zen LXi BSII,2002,60000,80000,Petrol,Individual,Manual,Second Owner
Chevrolet Tavera Neo 3 10 Seats BSIV,2007,160000,120000,Diesel,Individual,Manual,Third Owner
Maruti Baleno Vxi,2006,80000,120000,Petrol,Individual,Manual,Third Owner
Tata Indica DLX,2003,50000,120000,Diesel,Individual,Manual,Second Owner
Tata Indica LSI,2002,125000,40000,Petrol,Individual,Manual,First Owner
Tata Nano STD,2013,55000,25000,Petrol,Individual,Manual,Fourth & Above Owner
Chevrolet Beat Diesel PS,2012,159000,68000,Diesel,Dealer,Manual,First Owner
Tata Indigo CS Emax CNG GLX,2014,185000,72000,CNG,Dealer,Manual,First Owner
Maruti Alto LX,2011,145000,25000,Petrol,Individual,Manual,First Owner
Maruti SX4 Vxi BSIII,2007,100000,90000,Petrol,Individual,Manual,Second Owner
Hyundai Santro Xing GLS CNG,2010,130000,98000,CNG,Individual,Manual,Second Owner
Ford Figo Diesel Celebration Edition,2013,150000,80000,Diesel,Individual,Manual,Second Owner
Chevrolet Spark 1.0,2009,125000,70000,Petrol,Individual,Manual,First Owner
Maruti 800 AC,2000,60000,40000,Petrol,Individual,Manual,Third Owner
Ford Fiesta 1.6 ZXi Duratec,2007,190000,60000,Petrol,Individual,Manual,Third Owner
Maruti Zen Estilo VXI BSIV,2010,175000,52047,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,2016,130000,40000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI,2006,90000,62009,Petrol,Individual,Manual,Second Owner
Hyundai EON Era Plus,2014,190000,40000,Petrol,Individual,Manual,Second Owner
Hyundai Santro GLS I - Euro I,1999,50000,120000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R LXI Minor,2007,95000,80000,Petrol,Individual,Manual,First Owner
Maruti Alto LX,2007,70000,180000,Petrol,Individual,Manual,Third Owner
Maruti 800 AC,2007,105000,60000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R LXI,2004,80000,60000,Petrol,Individual,Manual,Third Owner
Chevrolet Spark 1.0 LS,2008,75000,35000,Petrol,Individual,Manual,Second Owner
Maruti Ritz VDi,2011,150000,40000,Diesel,Individual,Manual,Second Owner
Ford Figo Petrol Titanium,2011,120000,60000,Petrol,Individual,Manual,Third Owner
Maruti Wagon R VXI,2004,130000,46000,Petrol,Individual,Manual,First Owner
Mahindra Bolero SLX,2011,170000,70000,Diesel,Individual,Manual,Third Owner
Tata Nano Lx,2011,75000,15000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Terra 1.4 TDI,2009,150000,164000,Diesel,Individual,Manual,Second Owner
Maruti Alto LX,2006,65000,124439,Petrol,Individual,Manual,Second Owner
Maruti Zen VXI,2006,120000,77000,Petrol,Individual,Manual,Second Owner
Chevrolet Beat LS,2012,180000,50000,Petrol,Individual,Manual,First Owner
Maruti 800 AC BSII,2001,43000,100000,Petrol,Individual,Manual,Second Owner
Hyundai Verna CRDi,2008,195000,90000,Diesel,Individual,Manual,Second Owner
Tata Indica Vista Quadrajet LX,2011,133000,80000,Diesel,Individual,Manual,First Owner
Hyundai i10 Era 1.1,2009,120000,120000,Petrol,Individual,Manual,Second Owner
Maruti Swift 1.3 VXi,2005,110000,80000,Petrol,Individual,Manual,First Owner
Maruti Alto LX,2009,140000,120000,Petrol,Individual,Manual,Second Owner
Ford Figo Diesel ZXI,2011,175000,149000,Diesel,Individual,Manual,Second Owner
Maruti Wagon R LXI BSIII,2005,90000,65000,Petrol,Individual,Manual,Second Owner
Chevrolet Beat LT,2010,130000,80000,Petrol,Individual,Manual,Second Owner
Hyundai EON LPG Magna Plus,2012,180000,90000,LPG,Individual,Manual,First Owner
Maruti Alto LX,2012,150000,90000,Petrol,Individual,Manual,First Owner
Ford Ikon 1.3L Rocam Flair,2006,180000,91086,Petrol,Dealer,Manual,Second Owner
Maruti Alto LX,2011,135000,50000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2007,140000,49000,Petrol,Dealer,Manual,First Owner
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,First Owner
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,First Owner
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,First Owner
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,First Owner
Maruti Alto 800 LXI,2014,114999,30000,Petrol,Individual,Manual,First Owner
Maruti Gypsy E MG410W ST,1995,95000,100000,Petrol,Individual,Manual,Second Owner
Mahindra Verito 1.5 D4 BSIV,2012,150000,172000,Diesel,Individual,Manual,Second Owner
Chevrolet Tavera LS B3 7 Seats BSII,2005,150000,150000,Diesel,Individual,Manual,First Owner
Chevrolet Optra Magnum 2.0 LS,2009,150000,66000,Diesel,Individual,Manual,First Owner
Maruti Swift 1.3 VXi,2006,80000,66508,Petrol,Individual,Manual,Second Owner
Tata Nano Lx BSIV,2012,75000,29900,Petrol,Individual,Manual,First Owner
Tata Indica Vista Quadrajet VX,2012,185000,85000,Diesel,Individual,Manual,First Owner
Tata Indica Vista Aqua 1.4 TDI,2010,100000,120000,Diesel,Individual,Manual,Second Owner
Maruti Zen Estilo LXI BSIII,2008,140000,90000,Petrol,Individual,Manual,Third Owner
Maruti Alto LXi,2009,110000,20000,Petrol,Individual,Manual,First Owner
Mahindra Renault Logan 1.4 GLX Petrol,2008,145000,25000,Petrol,Individual,Manual,First Owner
Tata Venture EX,2012,110000,80000,Diesel,Individual,Manual,First Owner
Ford Fiesta Classic 1.4 Duratorq CLXI,2011,150000,186000,Diesel,Individual,Manual,Second Owner
Chevrolet Aveo U-VA 1.2 LS,2010,140000,60000,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing GL PLUS CNG,2007,90000,80000,CNG,Individual,Manual,Third Owner
Hyundai Santro GLS I - Euro I,2001,55000,60000,Petrol,Individual,Manual,Third Owner
Hyundai Verna CRDi,2007,155000,100000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti Alto K10 2010-2014 VXI,2011,135000,90000,Petrol,Individual,Manual,First Owner
Maruti 800 AC,2012,180000,120000,Petrol,Individual,Manual,First Owner
Maruti Alto K10 LXI,2015,138000,120000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti Alto 800 VXI,2015,190000,70000,Petrol,Individual,Manual,First Owner
Maruti Alto 800 VXI,2018,195000,5000,Petrol,Individual,Manual,First Owner
Tata Nano LX,2013,58000,27974,Petrol,Individual,Manual,First Owner
Maruti Alto 800 VXI,2018,183000,40000,Petrol,Individual,Manual,First Owner
Maruti Zen Estilo 1.1 VXI BSIII,2007,95000,80000,Petrol,Individual,Manual,First Owner
Skoda Octavia Classic 1.9 TDI MT,2004,120000,120000,Diesel,Individual,Manual,Second Owner
Chevrolet Beat LS,2011,160000,60000,Petrol,Individual,Manual,First Owner
Maruti Alto LX,2011,114999,60000,Petrol,Individual,Manual,Third Owner
Maruti Wagon R LXI Minor,2009,150000,53000,Petrol,Individual,Manual,First Owner
Hyundai Accent Executive,2012,180000,100000,Petrol,Individual,Manual,Third Owner
Tata Indigo LS,2007,55000,195000,Diesel,Individual,Manual,Third Owner
Maruti Alto LXi,2010,140000,30000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2008,110000,90000,Petrol,Individual,Manual,Second Owner
Maruti Alto 800 LXI,2006,165000,132000,Petrol,Individual,Manual,First Owner
Maruti 800 Std,2003,98000,54000,Petrol,Individual,Manual,First Owner
Tata Indica GLS BS IV,2009,68000,120000,Petrol,Individual,Manual,Second Owner
Hyundai i10 Sportz 1.2,2008,150000,30000,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,2014,180000,56207,Petrol,Dealer,Manual,Second Owner
Maruti Zen LXI,2006,80000,70000,Petrol,Individual,Manual,First Owner
Fiat Grande Punto 1.3 Dynamic (Diesel),2012,185000,100000,Diesel,Individual,Manual,Second Owner
Maruti Wagon R LXI,2009,180000,30375,Petrol,Dealer,Manual,First Owner
Maruti Alto 800 VXI,2017,150000,50000,Petrol,Individual,Manual,First Owner
Chevrolet Spark 1.0,2008,120000,100000,Petrol,Individual,Manual,Third Owner
Fiat Palio D 1.9 EL PS,2003,55000,35000,Diesel,Individual,Manual,Second Owner
Hyundai EON Magna Plus,2013,125000,205000,Petrol,Individual,Manual,First Owner
Maruti Alto 800 CNG LXI,2012,170000,97000,CNG,Individual,Manual,Second Owner
Tata Indigo CR4,2013,170000,60000,Diesel,Individual,Manual,First Owner
Tata Nano Lx,2011,120000,20000,Petrol,Individual,Manual,First Owner
Tata Nano Lx,2011,120000,20000,Petrol,Individual,Manual,First Owner
Maruti Zen LXI,1999,85000,70000,Petrol,Individual,Manual,Second Owner
Hyundai Santro LP zipPlus,2001,52000,50000,Petrol,Individual,Manual,Third Owner
Tata Nano LX,2013,60000,40000,Petrol,Individual,Manual,First Owner
Hyundai Getz 1.3 GVS,2010,110000,110000,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing GL Plus,2013,175000,80000,Petrol,Individual,Manual,First Owner
Hyundai Accent GLE CNG,2009,160000,70000,CNG,Individual,Manual,Third Owner
Maruti Zen Estilo LXI BSIII,2007,100000,80000,Petrol,Individual,Manual,Third Owner
Hyundai i10 Magna 1.1,2008,150000,90000,Petrol,Individual,Manual,Third Owner
Hyundai Santro Xing GLS,2009,110000,120000,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing GLS,2009,140000,120000,Petrol,Individual,Manual,First Owner
Tata Indigo CR4,2011,130000,90000,Diesel,Individual,Manual,First Owner
Maruti Alto 800 LXI,2017,160000,50000,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,2016,150000,60000,Petrol,Individual,Manual,First Owner
Tata Nano Std,2011,40000,19000,Petrol,Individual,Manual,First Owner
Chevrolet Tavera LT L1 7 Seats BSIII,2006,140000,200000,Diesel,Individual,Manual,Third Owner
Maruti Alto LX,2012,155000,19077,Petrol,Individual,Manual,Second Owner
Maruti Alto LXi,2009,140000,80000,Petrol,Individual,Manual,Second Owner
Hyundai EON 1.0 Era Plus,2018,100000,21302,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing XG eRLX Euro III,2006,90000,120000,Petrol,Individual,Manual,Second Owner
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,First Owner
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,First Owner
Tata Nano Lx BSIV,2010,75000,58850,Petrol,Dealer,Manual,First Owner
Hyundai Getz GLE,2007,110000,60000,Petrol,Individual,Manual,Fourth & Above Owner
Mahindra Renault Logan 1.4 GLX Petrol,2008,80000,90000,Petrol,Individual,Manual,First Owner
Hyundai Accent CRDi,2005,100000,120000,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing XG,2005,95000,120000,Petrol,Individual,Manual,Second Owner
Hyundai i10 Era 1.1 iTech SE,2011,147000,110000,Petrol,Individual,Manual,Second Owner
Tata Indica LSI,2006,70000,60000,Petrol,Individual,Manual,Second Owner
Hyundai EON Era Plus,2012,160000,70000,Petrol,Individual,Manual,Third Owner
Hyundai Santro LE zipPlus,2001,68000,70000,Petrol,Individual,Manual,First Owner
Tata Indigo CR4,2013,170000,60000,Diesel,Individual,Manual,First Owner
Maruti Alto LX,2007,100000,52000,Petrol,Individual,Manual,Second Owner
Tata Nano Lx,2011,120000,20000,Petrol,Individual,Manual,First Owner
Tata Indigo LX,2011,140000,60000,Diesel,Individual,Manual,Second Owner
Tata Nano Lx,2011,120000,20000,Petrol,Individual,Manual,First Owner
Maruti Alto LX,2009,150000,60000,Petrol,Individual,Manual,Second Owner
Ford Fiesta 1.5 TDCi Titanium,2011,195000,133564,Diesel,Dealer,Manual,First Owner
Chevrolet Beat Diesel LS,2011,95000,70000,Diesel,Individual,Manual,First Owner
Tata Indica GLS BS IV,2008,80000,200000,Petrol,Individual,Manual,First Owner
Tata Indica DLS,2006,55000,100000,Diesel,Individual,Manual,First Owner
Mahindra Jeep MM 540,2007,95000,100000,Diesel,Individual,Manual,Second Owner
Chevrolet Beat Diesel LS,2012,160000,50000,Diesel,Individual,Manual,First Owner
Maruti Swift LXI,2011,175000,70000,Petrol,Individual,Manual,First Owner
Maruti Zen Estilo Sports,2008,140000,120000,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing XL eRLX Euro III,2005,114999,90000,Petrol,Dealer,Manual,Second Owner
Tata Indica DLE,2005,100000,100000,Diesel,Individual,Manual,First Owner
Tata Indica DLS,2006,85000,300000,Diesel,Individual,Manual,Second Owner
Tata Indigo LX,2009,130000,110000,Diesel,Individual,Manual,Third Owner
Maruti Omni MPI STD BSIV,2016,120000,120000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2006,75000,80000,Petrol,Individual,Manual,Third Owner
Tata Indica GLS BS IV,2010,99000,70000,Petrol,Individual,Manual,First Owner
Hyundai i10 Magna 1.2 iTech SE,2009,150000,60000,Petrol,Individual,Manual,Third Owner
Hyundai Santro Xing XS,2009,150000,68000,Petrol,Individual,Manual,Second Owner
Maruti Esteem VX,1999,60000,35000,Petrol,Individual,Manual,Second Owner
Maruti Swift Vdi BSIII,2010,180000,100000,Diesel,Individual,Manual,Second Owner
Maruti Alto LXi BSIII,2008,91200,60000,Petrol,Individual,Manual,Second Owner
Hyundai Santro Xing XG AT,2006,160000,90000,Petrol,Individual,Automatic,Second Owner
Volkswagen Polo Diesel Trendline 1.2L,2010,130000,144000,Diesel,Individual,Manual,Fourth & Above Owner
Hyundai Verna SX,2007,155000,65000,Petrol,Dealer,Manual,First Owner
Maruti Alto LX,2011,180000,36000,Petrol,Dealer,Manual,First Owner
Maruti Alto LX,2004,110000,60000,Petrol,Individual,Manual,First Owner
Maruti Wagon R VXI BSIII,2006,150000,60000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R VXI BSIII,2004,155000,80000,Petrol,Individual,Manual,Second Owner
Maruti Zen LXI,2005,90000,90000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R LXI Minor,2007,80000,120000,Petrol,Individual,Manual,Second Owner
Maruti Alto LXi,2009,150000,90246,Petrol,Individual,Manual,Third Owner
Maruti Alto LX BSIII,2008,110000,90000,Petrol,Individual,Manual,Second Owner
Maruti Alto LXi BSIII,2010,150000,40000,Petrol,Individual,Manual,Second Owner
Maruti Gypsy King Hard Top,2000,165000,60000,Petrol,Individual,Manual,Fourth & Above Owner
Tata Manza Club Class Quadrajet90 VX,2013,170000,60400,Diesel,Individual,Manual,First Owner
Hyundai Verna CRDi,2008,150000,70950,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing GL Plus,2012,170000,50000,Petrol,Individual,Manual,Second Owner
Hyundai i10 Magna 1.2 iTech SE,2011,195000,80000,Petrol,Individual,Manual,Second Owner
Maruti Zen Estilo 1.1 VXI BSIII,2008,120000,70000,Petrol,Individual,Manual,Second Owner
Maruti A-Star Vxi,2009,180000,70000,Petrol,Individual,Manual,Third Owner
Tata Nano Cx BSIV,2012,75000,35000,Petrol,Individual,Manual,Second Owner
Tata Nano Lx,2011,60000,40000,Petrol,Individual,Manual,First Owner
Hyundai i10 Magna 1.2 iTech SE,2012,190000,60000,Petrol,Individual,Manual,Second Owner
Chevrolet Spark 1.0 LT,2011,165000,60000,Petrol,Individual,Manual,First Owner
Maruti Alto LX,2011,151000,40000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Quadrajet LX,2012,175000,80000,Diesel,Individual,Manual,Third Owner
Tata Indica Vista TDI LS,2010,170000,107500,Diesel,Dealer,Manual,First Owner
Maruti Alto LXi,2007,90000,43826,Petrol,Dealer,Manual,Second Owner
Maruti Swift VDI BSIV,2007,195000,112880,Diesel,Dealer,Manual,First Owner
Tata Indica Vista Terra Quadrajet 1.3L,2011,140000,90000,Diesel,Individual,Manual,Third Owner
Chevrolet Aveo 1.4 LS,2008,170000,81324,Petrol,Dealer,Manual,First Owner
Maruti Omni BSIII 8-STR W/ IMMOBILISER,2008,150000,50000,Petrol,Individual,Manual,Second Owner
Maruti Esteem Vxi - BSIII,2006,85000,60000,Petrol,Individual,Manual,Second Owner
Hyundai Elantra CRDi (Leather Option),2006,125000,120000,Diesel,Individual,Manual,Third Owner
Tata Indica Vista Aqua 1.3 Quadrajet,2010,110000,110000,Diesel,Individual,Manual,Second Owner
Hyundai Verna XXi (Petrol),2007,150000,84000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R LX,2006,75000,96000,Petrol,Individual,Manual,Second Owner
Tata Indigo LS,2009,100000,20000,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XK (Non-AC),2007,100000,50000,Petrol,Individual,Manual,First Owner
Chevrolet Beat Diesel LS,2013,190000,70000,Diesel,Individual,Manual,First Owner
Ford Figo Diesel LXI,2012,190000,130000,Diesel,Individual,Manual,Second Owner
Maruti 800 Std MPFi,2006,78000,64700,Petrol,Individual,Manual,First Owner
Maruti 800 AC,2002,65000,100000,Petrol,Individual,Manual,Second Owner
Tata Nano CX SE,2013,75000,25000,Petrol,Individual,Manual,Third Owner
Tata Manza Aura Quadrajet,2009,185000,60000,Diesel,Individual,Manual,Third Owner
Maruti Omni E 8 Str STD,2007,110000,90000,Petrol,Individual,Manual,Fourth & Above Owner
Honda City 1.5 EXI,2004,180000,200000,Petrol,Individual,Manual,Second Owner
Chevrolet Optra 1.6 LS,2005,60000,126000,Petrol,Individual,Manual,Second Owner
Maruti Zen Estilo LX BSIII,2007,135000,74183,Petrol,Individual,Manual,Second Owner
Maruti Alto 800 VXI,2014,160000,90000,Petrol,Individual,Manual,First Owner
Tata Indica LXI,2004,80000,46000,Petrol,Individual,Manual,Second Owner
Maruti Ritz VDi,2012,110000,80000,Diesel,Individual,Manual,Second Owner
Maruti Alto LX BSIII,2008,75000,120000,Petrol,Individual,Manual,First Owner
Tata Indica GLS BS IV,2007,85000,50000,Petrol,Individual,Manual,Second Owner
Tata Indica Vista Aqua TDI BSIII,2009,90000,120000,Diesel,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2007,85000,80000,Petrol,Individual,Manual,Second Owner
Tata Indica DL,2006,55000,100000,Diesel,Individual,Manual,Second Owner
Ford Fiesta 1.6 ZXi Leather,2006,95000,83411,Petrol,Individual,Manual,First Owner
Ford Fiesta 1.6 ZXi Leather,2006,81000,83411,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing XL AT eRLX Euro III,2006,85000,100000,Petrol,Individual,Automatic,Third Owner
Ford Fiesta 1.4 Duratec ZXI,2008,120000,100000,Petrol,Individual,Manual,Third Owner
Maruti Alto LX,2010,110000,88000,Petrol,Individual,Manual,Second Owner
Maruti A-Star Vxi,2009,120000,76000,Petrol,Individual,Manual,Second Owner
Maruti 800 EX,2001,40000,30000,Petrol,Individual,Manual,First Owner
Nissan Micra Diesel XV Premium,2011,138000,90000,Diesel,Individual,Manual,Second Owner
Maruti Zen LXi - BS III,2005,125000,34000,Petrol,Dealer,Manual,First Owner
Maruti Alto LXi BSIII,2008,125000,102000,Petrol,Dealer,Manual,First Owner
Maruti Alto K10 2010-2014 VXI,2011,170000,90000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R VXI BSIII,2003,70000,90000,Petrol,Individual,Manual,Second Owner
Maruti Alto LXi,2007,100000,70000,Petrol,Individual,Manual,Second Owner
Maruti Zen Estilo 1.1 LXI BSIII,2007,100000,143000,Petrol,Individual,Manual,Third Owner
Tata Manza ELAN Quadrajet BS IV,2011,165000,100000,Diesel,Individual,Manual,Second Owner
Maruti Esteem Lxi,2005,70000,60000,Petrol,Individual,Manual,Second Owner
Tata Indica Vista Aura 1.2 Safire,2010,100000,120000,Petrol,Individual,Manual,Second Owner
Maruti Omni MPI STD BSIV,2015,130000,70000,Petrol,Individual,Manual,First Owner
Mahindra Jeep MM 775 XDB,2000,155000,50000,Diesel,Individual,Manual,Second Owner
Maruti 800 AC BSIII,2007,75000,90000,Petrol,Individual,Manual,Second Owner
Maruti Zen Estilo LX BSIV,2010,90000,50000,Petrol,Individual,Manual,Third Owner
Maruti 800 DX,2000,50000,60000,Petrol,Individual,Manual,First Owner
Honda City 1.5 GXI,2004,125000,120000,Petrol,Individual,Manual,Second Owner
Mahindra Scorpio 2.6 SLX Turbo 7 Seater,2004,170000,120000,Diesel,Individual,Manual,First Owner
Maruti Zen Estilo VXI BSIII,2007,140000,100000,Petrol,Individual,Manual,Second Owner
Chevrolet Beat LT,2012,155000,12000,Petrol,Individual,Manual,First Owner
Hyundai Accent Executive,2010,120000,67000,Petrol,Individual,Manual,Third Owner
Toyota Corolla AE,2006,160000,140000,Petrol,Individual,Manual,Second Owner
Tata Indica DLS,2006,50000,120000,Diesel,Individual,Manual,Fourth & Above Owner
Tata Manza Aqua Quadrajet BS IV,2012,190000,120000,Diesel,Individual,Manual,First Owner
Hyundai i10 Era 1.1,2008,160000,110000,Petrol,Individual,Manual,Third Owner
